# Cloudflare 优选榜单 - 2026-04-07 22:27:12
# 排序标准：综合分 = 平均延迟 + 丢包率 * 50
# 丢包率为 0% 且得分最低的 IP 实际体验最好

IP地址               | 平均延迟       | 丢包率      | 综合得分
------------------------------------------------------------
198.41.206.121     |    6.79ms |     0.0% |     6.79
104.17.156.249     |    6.99ms |     0.0% |     6.99
141.101.123.193    |    7.31ms |     0.0% |     7.31
172.67.89.73       |    7.31ms |     0.0% |     7.31
104.24.163.155     |    7.37ms |     0.0% |     7.37
104.17.15.121      |    7.38ms |     0.0% |     7.38
104.17.167.126     |    7.43ms |     0.0% |     7.43
198.41.217.155     |    7.46ms |     0.0% |     7.46
172.67.108.192     |    7.49ms |     0.0% |     7.49
104.25.224.94      |     7.5ms |     0.0% |      7.5
172.67.171.48      |    7.53ms |     0.0% |     7.53
104.25.131.171     |    7.54ms |     0.0% |     7.54
198.41.192.66      |     7.6ms |     0.0% |      7.6
104.16.172.131     |    7.64ms |     0.0% |     7.64
104.19.170.6       |    7.64ms |     0.0% |     7.64
104.25.210.32      |    7.66ms |     0.0% |     7.66
162.159.25.16      |     7.7ms |     0.0% |      7.7
212.183.88.147     |     7.7ms |     0.0% |      7.7
104.17.93.82       |     7.8ms |     0.0% |      7.8
104.18.200.165     |    7.83ms |     0.0% |     7.83
104.19.196.175     |    7.83ms |     0.0% |     7.83
104.16.10.2        |    7.84ms |     0.0% |     7.84
104.19.179.224     |    7.84ms |     0.0% |     7.84
104.18.250.31      |    7.86ms |     0.0% |     7.86
104.26.6.194       |    7.89ms |     0.0% |     7.89
104.19.149.35      |    7.91ms |     0.0% |     7.91
104.19.53.124      |    7.94ms |     0.0% |     7.94
172.64.229.240     |    7.94ms |     0.0% |     7.94
172.66.47.232      |    7.95ms |     0.0% |     7.95
172.66.3.24        |    7.97ms |     0.0% |     7.97
185.148.105.3      |    7.97ms |     0.0% |     7.97
190.93.244.219     |     8.0ms |     0.0% |      8.0
104.17.246.167     |     8.0ms |     0.0% |      8.0
104.19.197.251     |    8.01ms |     0.0% |     8.01
104.18.238.238     |    8.05ms |     0.0% |     8.05
104.18.235.200     |    8.08ms |     0.0% |     8.08
104.24.193.79      |    8.09ms |     0.0% |     8.09
104.20.25.246      |     8.1ms |     0.0% |      8.1
104.19.185.240     |    8.11ms |     0.0% |     8.11
104.26.6.43        |    8.11ms |     0.0% |     8.11
104.19.139.145     |    8.12ms |     0.0% |     8.12
104.24.189.33      |    8.12ms |     0.0% |     8.12
104.27.12.52       |    8.12ms |     0.0% |     8.12
141.101.120.219    |    8.12ms |     0.0% |     8.12
104.24.245.53      |    8.13ms |     0.0% |     8.13
104.25.107.235     |    8.13ms |     0.0% |     8.13
104.17.251.171     |    8.14ms |     0.0% |     8.14
172.67.181.201     |    8.16ms |     0.0% |     8.16
104.25.9.159       |    8.16ms |     0.0% |     8.16
162.159.20.212     |    8.17ms |     0.0% |     8.17
104.25.28.25       |    8.21ms |     0.0% |     8.21
104.24.186.130     |    8.22ms |     0.0% |     8.22
104.19.211.40      |    8.23ms |     0.0% |     8.23
104.16.13.24       |    8.23ms |     0.0% |     8.23
104.25.116.84      |    8.24ms |     0.0% |     8.24
104.27.55.199      |    8.24ms |     0.0% |     8.24
162.251.82.187     |    8.24ms |     0.0% |     8.24
104.19.56.77       |    8.26ms |     0.0% |     8.26
104.17.186.75      |    8.26ms |     0.0% |     8.26
104.17.238.140     |    8.27ms |     0.0% |     8.27
104.21.19.192      |    8.28ms |     0.0% |     8.28
104.18.132.246     |    8.28ms |     0.0% |     8.28
104.25.96.159      |    8.28ms |     0.0% |     8.28
104.18.176.223     |    8.29ms |     0.0% |     8.29
104.24.240.63      |    8.29ms |     0.0% |     8.29
172.67.76.101      |    8.29ms |     0.0% |     8.29
104.16.4.2         |    8.29ms |     0.0% |     8.29
104.25.232.134     |     8.3ms |     0.0% |      8.3
104.21.37.149      |    8.32ms |     0.0% |     8.32
104.18.197.123     |    8.32ms |     0.0% |     8.32
104.19.208.88      |    8.33ms |     0.0% |     8.33
104.16.121.249     |    8.33ms |     0.0% |     8.33
104.17.242.135     |    8.34ms |     0.0% |     8.34
104.17.20.233      |    8.35ms |     0.0% |     8.35
104.18.231.215     |    8.35ms |     0.0% |     8.35
104.24.8.80        |    8.36ms |     0.0% |     8.36
104.18.98.150      |    8.36ms |     0.0% |     8.36
141.101.113.144    |    8.36ms |     0.0% |     8.36
104.19.218.52      |    8.36ms |     0.0% |     8.36
104.21.67.178      |    8.37ms |     0.0% |     8.37
104.17.114.246     |    8.38ms |     0.0% |     8.38
172.67.220.110     |    8.38ms |     0.0% |     8.38
104.24.21.107      |    8.38ms |     0.0% |     8.38
104.27.193.151     |    8.38ms |     0.0% |     8.38
104.17.125.136     |    8.38ms |     0.0% |     8.38
162.159.194.61     |     8.4ms |     0.0% |      8.4
104.19.17.186      |     8.4ms |     0.0% |      8.4
104.25.165.237     |     8.4ms |     0.0% |      8.4
173.245.58.32      |     8.4ms |     0.0% |      8.4
104.24.19.214      |    8.41ms |     0.0% |     8.41
104.25.174.228     |    8.42ms |     0.0% |     8.42
104.16.204.47      |    8.42ms |     0.0% |     8.42
104.17.204.145     |    8.43ms |     0.0% |     8.43
104.25.153.44      |    8.44ms |     0.0% |     8.44
104.24.201.214     |    8.45ms |     0.0% |     8.45
104.16.66.6        |    8.45ms |     0.0% |     8.45
104.16.189.61      |    8.46ms |     0.0% |     8.46
104.19.105.154     |    8.47ms |     0.0% |     8.47
104.20.14.81       |    8.47ms |     0.0% |     8.47
104.24.241.132     |    8.49ms |     0.0% |     8.49
